customer_id,customer_name,area,registration_date,customer_segment,total_orders,avg_order_value
97475543,Niharika Nagi,Udupi,2023-05,Premium,13,451.92
22077605,Megha Sachar,Aligarh,2024-06,Inactive,4,825.48
47822591,Hema Bahri,Begusarai,2024-09,Regular,17,1969.81
79726146,Zaitra Vig,Kozhikode,2023-10,New,4,220.09
57102800,Januja Verma,Ichalkaranji,2024-03,Inactive,14,578.14
54748429,Darsh More,Visakhapatnam,2024-04,New,2,669.35
49152878,Patrick Sandhu,Gwalior,2024-09,Premium,4,973.62
16379942,Harshil Kuruvilla,Orai,2024-04,Inactive,15,1370.56
11071601,Ojas Ahuja,Buxar,2023-07,Inactive,17,1950.54
68164013,Netra Chander,Malegaon,2023-06,New,1,1061.82
80404839,Kashish Dora,Katni,2023-04,Inactive,10,1537.35
27038630,Megha Thakkar,Fatehpur,2023-04,Regular,11,1307.28
1655637,Turvi Radhakrishnan,Ichalkaranji,2023-09,Regular,19,723.95
75566105,Dipta Doctor,Hyderabad,2024-03,Regular,18,1432.53
23961725,Zayyan Buch,Bhiwandi,2024-05,Regular,6,367.74
67749649,Oviya Mitra,Mira-Bhayandar,2024-04,Inactive,11,281.16
61461253,Arin Setty,Amravati,2024-08,Inactive,4,789.5
30619659,Lohit Kalla,Kochi,2024-09,Inactive,14,1992.42
50229203,Rushil Dhingra,Tiruchirappalli,2023-09,Regular,7,1731.87
13567338,Wahab Borah,Hubli–Dharwad,2024-10,Premium,10,1054.12
7591711,Triya Kakar,Nagercoil,2024-01,Regular,12,1494.0
22102079,Vrinda Lalla,Alwar,2024-06,Premium,10,615.86
48910430,Janani Prasad,Bardhaman,2024-09,Premium,3,1474.04
27604184,Tripti Nadig,Nandyal,2023-10,New,9,1108.86
79672044,Jagdish Vora,Hapur,2023-12,New,8,1115.88
13461704,Zayan Ratta,Nanded,2024-04,Premium,4,1024.45
66135710,Zayan Thakkar,Ramgarh,2023-11,New,6,308.63
50572914,Ishani Mukherjee,Bihar Sharif,2023-10,Regular,20,701.55
4386273,Jagrati Sengupta,Nandyal,2024-06,Inactive,12,298.97
57537308,Ayush Buch,Jorhat,2024-05,New,8,1641.88
34526442,Harita Chatterjee,Raipur,2023-09,Regular,14,1956.45
67383024,Riya Kothari,Kollam,2024-04,Premium,14,1240.9
28350645,Alka Srinivasan,Ratlam,2024-01,Inactive,9,553.0
81940369,Nilima Chaudhuri,Nellore,2024-02,Premium,10,316.79
89950235,Aarav Dayal,Warangal,2023-12,Premium,13,1179.29
88202341,Jagrati Dubey,Kottayam,2023-08,Inactive,9,644.06
41155125,Yahvi Doshi,Tenali,2024-04,Inactive,14,1454.3
46369552,Keya Modi,Jaipur,2024-09,Regular,17,456.51
48943848,Tarak Nair,Patiala,2024-06,Premium,13,245.46
39645619,Indira Jaggi,Maheshtala,2023-06,Regular,13,1512.4
76917159,Hiral Arya,Ludhiana,2024-06,Premium,11,1777.83
72366758,Vedant Sengupta,Ichalkaranji,2023-11,Inactive,9,513.7
66140659,Omya Iyengar,Ongole,2023-12,Premium,8,509.85
87457446,Yashodhara Sarraf,Katihar,2024-07,Premium,7,1301.39
10830043,Gabriel Iyer,Hospet,2023-10,New,9,899.6
97150234,Ishaan Brahmbhatt,Bihar Sharif,2023-11,New,13,1527.55
72489544,Sanaya Joshi,Siwan,2024-09,Inactive,17,1600.17
81352781,Brinda Bassi,Dehradun,2024-02,Regular,4,564.55
88130777,Darsh Gupta,North Dumdum,2023-10,New,16,301.23
65294340,Jasmit Kota,Jamalpur,2024-04,New,17,356.29
40387944,Chavvi Gill,Parbhani,2024-03,Regular,10,569.91
91868185,Raghav Sathe,Srinagar,2023-10,New,1,1657.84
31846190,Charan Choudhary,Kolkata,2024-09,New,4,1176.18
15529446,Pallavi Goda,Haridwar,2023-10,Premium,9,854.35
20956158,Kashish Misra,Kavali,2024-03,Premium,7,312.69
68159723,Yashvi Pathak,Orai,2024-05,New,6,1214.62
48554440,Rohan Ganesan,Malegaon,2024-03,Regular,17,1354.99
966247,Jeevika Deo,Junagadh,2023-11,Inactive,13,1110.76
40015980,Dipta Deshmukh,Katni,2023-06,New,18,1031.91
63262519,Benjamin Balakrishnan,Karaikudi,2024-02,Regular,10,607.45
81763298,Laban Kumar,Ichalkaranji,2023-07,Premium,1,1747.14
49985597,Neel Rastogi,Kishanganj,2024-08,Regular,3,775.73
21282544,Warda Basak,Jaunpur,2024-08,Regular,16,657.98
78868716,Sai Chhabra,Madhyamgram,2023-12,Inactive,5,1774.41
30733165,Gaurang Grewal,Ujjain,2024-05,Inactive,10,1609.11
78678612,Kritika Padmanabhan,Mehsana,2024-06,Premium,1,795.06
48511124,Girish Shankar,Korba,2023-05,Inactive,10,1076.14
26412689,Yadavi Rastogi,Bahraich,2024-06,Regular,1,1700.46
26303194,Janaki Parsa,Pali,2023-04,Premium,18,1045.94
93735495,Urvi Prasad,Jehanabad,2023-05,Regular,7,871.15
8395610,Ranveer Subramanian,Erode,2024-03,Inactive,18,294.53
41640262,Vihaan Gola,Ulhasnagar,2023-08,Inactive,9,1805.87
60618999,Lopa Vig,Pudukkottai,2024-07,Regular,15,1631.96
77220027,Aryan Krish,Coimbatore,2023-12,Premium,16,551.81
32019725,Tarak Rout,Panchkula,2024-01,Premium,19,1169.96
38709137,Neha Gade,Mau,2023-07,Inactive,18,1307.64
11540364,Jonathan Virk,Firozabad,2024-09,New,20,517.32
59207798,Chakrika Bhargava,Ballia,2023-07,Premium,4,1441.64
10797688,Sudiksha Mannan,Bathinda,2023-05,New,7,1017.39
88965399,Darsh Sura,Guntur,2024-05,Regular,3,1144.21
